timestamp,rel_t,cx,cy,yaw_cdeg,pitch_cdeg,conf,active,valid
2026-08-06T16:28:40.113187,0.034,0,0,0,0,0,0,1
2026-08-06T16:28:40.135734,0.057,0,0,0,0,0,0,1
2026-08-06T16:28:40.157103,0.078,0,0,0,0,0,0,1
2026-08-06T16:28:40.178566,0.100,0,0,0,0,0,0,1
2026-08-06T16:28:40.201746,0.123,0,0,0,0,0,0,1
2026-08-06T16:28:40.232092,0.153,0,0,0,0,0,0,1
2026-08-06T16:28:40.253234,0.174,0,0,0,0,0,0,1
2026-08-06T16:28:40.275887,0.197,0,0,0,0,0,0,1
2026-08-06T16:28:40.296876,0.218,0,0,0,0,0,0,1
2026-08-06T16:28:40.318820,0.240,0,0,0,0,0,0,1
2026-08-06T16:28:40.341926,0.263,0,0,0,0,0,0,1
2026-08-06T16:28:40.372238,0.293,0,0,0,0,0,0,1
2026-08-06T16:28:40.393341,0.314,0,0,0,0,0,0,1
2026-08-06T16:28:40.416298,0.337,0,0,0,0,0,0,1
2026-08-06T16:28:40.437681,0.359,0,0,0,0,0,0,1
2026-08-06T16:28:40.459685,0.381,0,0,0,0,0,0,1
2026-08-06T16:28:40.482088,0.403,0,0,0,0,0,0,1
2026-08-06T16:28:40.512396,0.433,0,0,0,0,0,0,1
2026-08-06T16:28:40.535526,0.457,0,0,0,0,0,0,1
2026-08-06T16:28:40.558223,0.479,0,0,0,0,0,0,1
2026-08-06T16:28:40.578965,0.500,0,0,0,0,0,0,1
2026-08-06T16:28:40.601132,0.522,0,0,0,0,0,0,1
2026-08-06T16:28:40.636443,0.557,0,0,0,0,0,0,1
2026-08-06T16:28:40.657579,0.579,0,0,0,0,0,0,1
2026-08-06T16:28:40.678772,0.600,0,0,0,0,0,0,1
2026-08-06T16:28:40.701503,0.623,0,0,0,0,0,0,1
2026-08-06T16:28:40.723749,0.645,0,0,0,0,0,0,1
2026-08-06T16:28:40.759263,0.680,0,0,0,0,0,0,1
2026-08-06T16:28:40.780485,0.702,0,0,0,0,0,0,1
2026-08-06T16:28:40.801920,0.723,0,0,0,0,0,0,1
2026-08-06T16:28:40.823021,0.744,0,0,0,0,0,0,1
2026-08-06T16:28:40.846734,0.768,0,0,0,0,0,0,1
2026-08-06T16:28:40.880018,0.801,0,0,0,0,0,0,1
2026-08-06T16:28:40.902656,0.824,0,0,0,0,0,0,1
2026-08-06T16:28:40.923738,0.845,0,0,0,0,0,0,1
2026-08-06T16:28:40.945300,0.866,0,0,0,0,0,0,1
2026-08-06T16:28:40.968664,0.890,0,0,0,0,0,0,1
2026-08-06T16:28:40.989797,0.911,0,0,0,0,0,0,1
2026-08-06T16:28:41.020050,0.941,0,0,0,0,0,0,1
2026-08-06T16:28:41.042831,0.964,0,0,0,0,0,0,1
2026-08-06T16:28:41.064003,0.985,0,0,0,0,0,0,1
2026-08-06T16:28:41.085322,1.006,0,0,0,0,0,0,1
2026-08-06T16:28:41.108747,1.030,0,0,0,0,0,0,1
2026-08-06T16:28:41.129947,1.051,0,0,0,0,0,0,1
2026-08-06T16:28:41.160403,1.081,0,0,0,0,0,0,1
2026-08-06T16:28:41.182839,1.104,0,0,0,0,0,0,1
2026-08-06T16:28:41.204094,1.125,0,0,0,0,0,0,1
2026-08-06T16:28:41.225436,1.146,0,0,0,0,0,0,1
2026-08-06T16:28:41.249122,1.170,0,0,0,0,0,0,1
2026-08-06T16:28:41.270394,1.191,0,0,0,0,0,0,1
2026-08-06T16:28:41.300536,1.222,0,0,0,0,0,0,1
2026-08-06T16:28:41.323061,1.244,0,0,0,0,0,0,1
2026-08-06T16:28:41.344192,1.265,0,0,0,0,0,0,1
2026-08-06T16:28:41.365258,1.286,0,0,0,0,0,0,1
2026-08-06T16:28:41.389029,1.310,0,0,0,0,0,0,1
2026-08-06T16:28:41.410391,1.331,0,0,0,0,0,0,1
2026-08-06T16:28:41.440320,1.361,0,0,0,0,0,0,1
2026-08-06T16:28:41.463154,1.384,0,0,0,0,0,0,1
2026-08-06T16:28:41.484436,1.405,0,0,0,0,0,0,1
2026-08-06T16:28:41.505603,1.427,0,0,0,0,0,0,1
2026-08-06T16:28:41.529347,1.450,0,0,0,0,0,0,1
2026-08-06T16:28:41.550436,1.471,0,0,0,0,0,0,1
2026-08-06T16:28:41.580541,1.502,0,0,0,0,0,0,1
2026-08-06T16:28:41.603110,1.524,0,0,0,0,0,0,1
2026-08-06T16:28:41.624443,1.545,0,0,0,0,0,0,1
2026-08-06T16:28:41.645565,1.567,0,0,0,0,0,0,1
2026-08-06T16:28:41.669302,1.590,0,0,0,0,0,0,1
2026-08-06T16:28:41.690609,1.612,0,0,0,0,0,0,1
2026-08-06T16:28:41.720893,1.642,0,0,0,0,0,0,1
2026-08-06T16:28:41.743463,1.665,0,0,0,0,0,0,1
2026-08-06T16:28:41.764774,1.686,0,0,0,0,0,0,1
2026-08-06T16:28:41.785992,1.707,0,0,0,0,0,0,1
2026-08-06T16:28:41.809518,1.731,0,0,0,0,0,0,1
2026-08-06T16:28:41.830539,1.752,0,0,0,0,0,0,1
2026-08-06T16:28:41.860801,1.782,0,0,0,0,0,0,1
2026-08-06T16:28:41.883499,1.805,0,0,0,0,0,0,1
2026-08-06T16:28:41.904646,1.826,0,0,0,0,0,0,1
2026-08-06T16:28:41.926195,1.847,0,0,0,0,0,0,1
2026-08-06T16:28:41.949423,1.870,0,0,0,0,0,0,1
2026-08-06T16:28:41.970731,1.892,0,0,0,0,0,0,1
2026-08-06T16:28:42.001502,1.923,0,0,0,0,0,0,1
2026-08-06T16:28:42.024309,1.945,0,0,0,0,0,0,1
2026-08-06T16:28:42.045471,1.967,0,0,0,0,0,0,1
2026-08-06T16:28:42.066489,1.988,0,0,0,0,0,0,1
2026-08-06T16:28:42.090317,2.011,0,0,0,0,0,0,1
2026-08-06T16:28:42.123620,2.045,0,0,0,0,0,0,1
2026-08-06T16:28:42.144797,2.066,0,0,0,0,0,0,1
2026-08-06T16:28:42.167099,2.088,0,0,0,0,0,0,1
2026-08-06T16:28:42.188459,2.110,0,0,0,0,0,0,1
2026-08-06T16:28:42.210056,2.131,0,0,0,0,0,0,1
2026-08-06T16:28:42.233418,2.154,0,0,0,0,0,0,1
2026-08-06T16:28:42.263742,2.185,-261,240,0,0,100,1,1
2026-08-06T16:28:42.285258,2.206,-227,230,0,0,100,1,1
2026-08-06T16:28:42.308247,2.229,-195,222,0,0,100,1,1
2026-08-06T16:28:42.329775,2.251,-166,218,0,0,100,1,1
2026-08-06T16:28:42.353112,2.274,-123,204,0,0,100,1,1
2026-08-06T16:28:42.388527,2.310,-100,183,0,0,100,1,1
2026-08-06T16:28:42.410638,2.332,-88,171,0,0,100,1,1
2026-08-06T16:28:42.433030,2.354,-75,163,0,0,100,1,1
2026-08-06T16:28:42.457642,2.379,-61,157,0,0,100,1,1
2026-08-06T16:28:42.479586,2.401,-37,137,0,0,100,1,1
2026-08-06T16:28:42.511224,2.432,-24,122,0,0,100,1,1
2026-08-06T16:28:42.533304,2.454,-16,119,0,0,100,1,1
2026-08-06T16:28:42.556009,2.477,-5,119,0,0,100,1,1
2026-08-06T16:28:42.579983,2.501,4,118,0,0,100,1,1
2026-08-06T16:28:42.602452,2.523,15,101,0,0,100,1,1
2026-08-06T16:28:42.632177,2.553,28,94,0,0,100,1,1
2026-08-06T16:28:42.655559,2.577,39,95,0,0,100,1,1
2026-08-06T16:28:42.677862,2.599,49,96,0,0,100,1,1
2026-08-06T16:28:42.699465,2.621,57,96,0,0,100,1,1
2026-08-06T16:28:42.723744,2.645,65,83,0,0,100,1,1
2026-08-06T16:28:42.755018,2.676,70,77,0,0,100,1,1
2026-08-06T16:28:42.777057,2.698,72,77,0,0,100,1,1
2026-08-06T16:28:42.800399,2.721,75,77,0,0,100,1,1
2026-08-06T16:28:42.822241,2.743,79,74,0,0,100,1,1
2026-08-06T16:28:42.845023,2.766,84,66,0,0,100,1,1
2026-08-06T16:28:42.878681,2.800,80,61,0,0,100,1,1
2026-08-06T16:28:42.900634,2.822,78,59,0,0,100,1,1
2026-08-06T16:28:42.922952,2.844,77,59,0,0,100,1,1
2026-08-06T16:28:42.947059,2.868,78,58,0,0,100,1,1
2026-08-06T16:28:42.969250,2.890,78,54,0,0,100,1,1
2026-08-06T16:28:43.001480,2.923,73,53,0,0,100,1,1
2026-08-06T16:28:43.023660,2.945,73,54,0,0,100,1,1
2026-08-06T16:28:43.045932,2.967,73,54,0,0,100,1,1
2026-08-06T16:28:43.067815,2.989,72,53,0,0,100,1,1
2026-08-06T16:28:43.091824,3.013,69,54,0,0,100,1,1
2026-08-06T16:28:43.123087,3.044,72,56,0,0,100,1,1
2026-08-06T16:28:43.146235,3.067,71,56,0,0,100,1,1
2026-08-06T16:28:43.168560,3.090,69,54,0,0,100,1,1
2026-08-06T16:28:43.190714,3.112,68,52,0,0,100,1,1
2026-08-06T16:28:43.214825,3.136,75,54,0,0,100,1,1
2026-08-06T16:28:43.245350,3.166,81,56,0,0,100,1,1
2026-08-06T16:28:43.267733,3.189,82,54,0,0,100,1,1
2026-08-06T16:28:43.291161,3.212,81,51,0,0,100,1,1
2026-08-06T16:28:43.313390,3.234,81,50,0,0,100,1,1
2026-08-06T16:28:43.336123,3.257,86,50,0,0,100,1,1
2026-08-06T16:28:43.369268,3.290,90,46,0,0,100,1,1
2026-08-06T16:28:43.391260,3.312,89,43,0,0,100,1,1
2026-08-06T16:28:43.413481,3.335,87,42,0,0,100,1,1
2026-08-06T16:28:43.437671,3.359,87,42,0,0,100,1,1
2026-08-06T16:28:43.459845,3.381,95,44,0,0,100,1,1
2026-08-06T16:28:43.492337,3.413,97,37,0,0,100,1,1
2026-08-06T16:28:43.514296,3.435,95,33,0,0,100,1,1
2026-08-06T16:28:43.536634,3.458,93,32,0,0,100,1,1
2026-08-06T16:28:43.560863,3.482,94,33,0,0,100,1,1
2026-08-06T16:28:43.583086,3.504,96,33,0,0,100,1,1
2026-08-06T16:28:43.613242,3.534,92,28,0,0,100,1,1
2026-08-06T16:28:43.636575,3.558,89,27,0,0,100,1,1
2026-08-06T16:28:43.658856,3.580,88,27,0,0,100,1,1
2026-08-06T16:28:43.680843,3.602,89,27,0,0,100,1,1
2026-08-06T16:28:43.704950,3.626,89,27,0,0,100,1,1
2026-08-06T16:28:43.736067,3.657,86,26,0,0,100,1,1
2026-08-06T16:28:43.758026,3.679,85,27,0,0,100,1,1
2026-08-06T16:28:43.781600,3.703,86,29,0,0,100,1,1
2026-08-06T16:28:43.804689,3.726,86,30,0,0,100,1,1
2026-08-06T16:28:43.826625,3.748,84,29,0,0,100,1,1
2026-08-06T16:28:43.859443,3.781,82,30,0,0,100,1,1
2026-08-06T16:28:43.881562,3.803,84,32,0,0,100,1,1
2026-08-06T16:28:43.904179,3.825,85,34,0,0,100,1,1
2026-08-06T16:28:43.928319,3.849,86,34,0,0,100,1,1
2026-08-06T16:28:43.950403,3.871,83,34,0,0,100,1,1
2026-08-06T16:28:43.982521,3.904,84,37,0,0,100,1,1
2026-08-06T16:28:44.004538,3.926,85,39,0,0,100,1,1
2026-08-06T16:28:44.027002,3.948,85,38,0,0,100,1,1
2026-08-06T16:28:44.051513,3.973,84,37,0,0,100,1,1
2026-08-06T16:28:44.073570,3.995,83,36,0,0,100,1,1
2026-08-06T16:28:44.103570,4.025,84,39,0,0,100,1,1
2026-08-06T16:28:44.127123,4.048,85,41,0,0,100,1,1
2026-08-06T16:28:44.149511,4.071,86,41,0,0,100,1,1
2026-08-06T16:28:44.171541,4.093,86,41,0,0,100,1,1
2026-08-06T16:28:44.195514,4.117,87,41,0,0,100,1,1
2026-08-06T16:28:44.226277,4.147,90,45,0,0,100,1,1
2026-08-06T16:28:44.248419,4.169,91,48,0,0,100,1,1
2026-08-06T16:28:44.271990,4.193,92,50,0,0,100,1,1
2026-08-06T16:28:44.293943,4.215,93,49,0,0,100,1,1
2026-08-06T16:28:44.316699,4.238,94,50,0,0,100,1,1
2026-08-06T16:28:44.349944,4.271,100,53,0,0,100,1,1
2026-08-06T16:28:44.372135,4.293,102,54,0,0,100,1,1
2026-08-06T16:28:44.394140,4.315,102,54,0,0,100,1,1
2026-08-06T16:28:44.418635,4.340,99,54,0,0,100,1,1
2026-08-06T16:28:44.440416,4.361,95,58,0,0,100,1,1
2026-08-06T16:28:44.472823,4.394,93,63,0,0,100,1,1
2026-08-06T16:28:44.495229,4.416,89,64,0,0,100,1,1
2026-08-06T16:28:44.517313,4.438,83,63,0,0,100,1,1
2026-08-06T16:28:44.541947,4.463,78,63,0,0,100,1,1
2026-08-06T16:28:44.563959,4.485,75,66,0,0,100,1,1
2026-08-06T16:28:44.594147,4.515,75,67,0,0,100,1,1
2026-08-06T16:28:44.617601,4.539,72,66,0,0,100,1,1
2026-08-06T16:28:44.639994,4.561,68,65,0,0,100,1,1
2026-08-06T16:28:44.662649,4.584,64,65,0,0,100,1,1
2026-08-06T16:28:44.685987,4.607,60,65,0,0,100,1,1
2026-08-06T16:28:44.716714,4.638,57,64,0,0,100,1,1
2026-08-06T16:28:44.738908,4.660,55,63,0,0,100,1,1
2026-08-06T16:28:44.762537,4.684,54,63,0,0,100,1,1
2026-08-06T16:28:44.788034,4.709,54,64,0,0,100,1,1
2026-08-06T16:28:44.809912,4.731,56,65,0,0,100,1,1
2026-08-06T16:28:44.840506,4.762,55,64,0,0,100,1,1
2026-08-06T16:28:44.862499,4.784,54,63,0,0,100,1,1
2026-08-06T16:28:44.885041,4.806,53,64,0,0,100,1,1
2026-08-06T16:28:44.909479,4.831,55,65,0,0,100,1,1
2026-08-06T16:28:44.931527,4.853,60,66,0,0,100,1,1
2026-08-06T16:28:44.963189,4.884,60,66,0,0,100,1,1
2026-08-06T16:28:44.985403,4.906,59,66,0,0,100,1,1
2026-08-06T16:28:45.007843,4.929,59,67,0,0,100,1,1
2026-08-06T16:28:45.032407,4.953,60,68,0,0,100,1,1
2026-08-06T16:28:45.054494,4.976,64,68,0,0,100,1,1
2026-08-06T16:28:45.084494,5.006,63,66,0,0,100,1,1
2026-08-06T16:28:45.107925,5.029,63,66,0,0,100,1,1
2026-08-06T16:28:45.130528,5.052,64,67,0,0,100,1,1
2026-08-06T16:28:45.153503,5.075,64,67,0,0,100,1,1
2026-08-06T16:28:45.176891,5.098,65,65,0,0,100,1,1
2026-08-06T16:28:45.206945,5.128,64,64,0,0,100,1,1
2026-08-06T16:28:45.229194,5.150,65,65,0,0,100,1,1
2026-08-06T16:28:45.252631,5.174,66,65,0,0,100,1,1
2026-08-06T16:28:45.275803,5.197,67,65,0,0,100,1,1
2026-08-06T16:28:45.297883,5.219,66,63,0,0,100,1,1
2026-08-06T16:28:45.330510,5.252,66,64,0,0,100,1,1
2026-08-06T16:28:45.352916,5.274,67,65,0,0,100,1,1
2026-08-06T16:28:45.375563,5.297,67,65,0,0,100,1,1
2026-08-06T16:28:45.399899,5.321,66,64,0,0,100,1,1
2026-08-06T16:28:45.422190,5.343,65,64,0,0,100,1,1
2026-08-06T16:28:45.453709,5.375,65,65,0,0,100,1,1
2026-08-06T16:28:45.475866,5.397,66,65,0,0,100,1,1
2026-08-06T16:28:45.498441,5.419,67,65,0,0,100,1,1
2026-08-06T16:28:45.522934,5.444,67,64,0,0,100,1,1
2026-08-06T16:28:45.544994,5.466,67,63,0,0,100,1,1
2026-08-06T16:28:45.574720,5.496,67,63,0,0,100,1,1
2026-08-06T16:28:45.598202,5.519,68,63,0,0,100,1,1
2026-08-06T16:28:45.620562,5.542,69,64,0,0,100,1,1
2026-08-06T16:28:45.643659,5.565,69,64,0,0,100,1,1
